Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,22h51m23.9310s,  0.6622211˚00'00",0,PSC,-,22h51m27.5289s, -3.3377509˚00'00",0,PSC,:,grey,1,0.5
-,22h51m22.1321s,  2.6622071˚00'00",0,PSC,-,22h51m23.9310s,  0.6622211˚00'00",0,PSC,:,grey,1,0.5 
-,22h51m17.1399s,  8.1621685˚00'00",0,PSC,-,22h51m22.1321s,  2.6622071˚00'00",0,PSC,:,grey,1,0.5 
-,23h56m23.5281s,  8.1957970˚00'00",0,PSC,-,22h51m17.1399s,  8.1621685˚00'00",0,PSC,:,grey,1,0.5 
-,23h56m23.3085s, 10.6957970˚00'00",0,PSC,-,23h56m23.5281s,  8.1957970˚00'00",0,PSC,:,grey,1,0.5 
-,00h06m24.6553s, 10.6960354˚00'00",0,PSC,-,23h56m23.3085s, 10.6957970˚00'00",0,PSC,:,grey,1,0.5 
-,00h06m24.7619s, 13.1960354˚00'00",0,PSC,-,00h06m24.6553s, 10.6960354˚00'00",0,PSC,:,grey,1,0.5 
-,00h14m56.1883s, 13.1951942˚00'00",0,PSC,-,00h06m24.7619s, 13.1960354˚00'00",0,PSC,:,grey,1,0.5 
-,00h14m57.5811s, 21.6951923˚00'00",0,PSC,-,00h14m56.1883s, 13.1951942˚00'00",0,PSC,:,grey,1,0.5 
-,00h57m39.5557s, 21.6766376˚00'00",0,PSC,-,00h14m57.5811s, 21.6951923˚00'00",0,PSC,:,grey,1,0.5 
-,00h57m41.7755s, 24.4266243˚00'00",0,PSC,-,00h57m39.5557s, 21.6766376˚00'00",0,PSC,:,grey,1,0.5 
-,00h49m39.2379s, 24.4319324˚00'00",0,PSC,-,00h57m41.7755s, 24.4266243˚00'00",0,PSC,:,grey,1,0.5 
-,00h49m46.3353s, 33.6818962˚00'00",0,PSC,-,00h49m39.2379s, 24.4319324˚00'00",0,PSC,:,grey,1,0.5 
-,01h31m35.3823s, 33.6453705˚00'00",0,PSC,-,00h49m46.3353s, 33.6818962˚00'00",0,PSC,:,grey,1,0.5 
-,01h31m27.9408s, 28.6454391˚00'00",0,PSC,-,01h31m35.3823s, 33.6453705˚00'00",0,PSC,:,grey,1,0.5 
-,01h47m03.5304s, 28.6262817˚00'00",0,PSC,-,01h31m27.9408s, 28.6454391˚00'00",0,PSC,:,grey,1,0.5 
-,01h46m58.7219s, 25.6263351˚00'00",0,PSC,-,01h47m03.5304s, 28.6262817˚00'00",0,PSC,:,grey,1,0.5 
-,01h46m37.3761s, 10.5432396˚00'00",0,PSC,-,01h46m58.7219s, 25.6263351˚00'00",0,PSC,:,grey,1,0.5 
-,02h06m39.6594s, 10.5143948˚00'00",0,PSC,-,01h46m37.3761s, 10.5432396˚00'00",0,PSC,:,grey,1,0.5 
-,02h06m27.6639s,  2.5978806˚00'00",0,PSC,-,02h06m39.6594s, 10.5143948˚00'00",0,PSC,:,grey,1,0.5 
-,00h26m24.9090s,  2.6925383˚00'00",0,PSC,-,02h06m27.6639s,  2.5978806˚00'00",0,PSC,:,grey,1,0.5 
-,00h26m24.3189s,  0.6925398˚00'00",0,PSC,-,00h26m24.9090s,  2.6925383˚00'00",0,PSC,:,grey,1,0.5 
-,00h26m22.2486s, -6.3074551˚00'00",0,PSC,-,00h26m24.3189s,  0.6925398˚00'00",0,PSC,:,grey,1,0.5 
-,23h56m24.7917s, -6.3042021˚00'00",0,PSC,-,00h26m22.2486s, -6.3074551˚00'00",0,PSC,:,grey,1,0.5 
-,23h56m24.5307s, -3.3042023˚00'00",0,PSC,-,23h56m24.7917s, -6.3042021˚00'00",0,PSC,:,grey,1,0.5 
-,22h51m27.5289s, -3.3377509˚00'00",0,PSC,-,23h56m24.5307s, -3.3042023˚00'00",0,PSC,:,grey,1,0.5 
