Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,07h27m53.6159s,-11.2521448˚00'00",0,PUP,-,08h10m56.2029s,-11.3687992˚00'00",0,PUP,:,grey,1,0.5
-,07h26m42.5277s,-33.2504692˚00'00",0,PUP,-,07h27m53.6159s,-11.2521448˚00'00",0,PUP,:,grey,1,0.5 
-,06h39m36.9263s,-33.1128159˚00'00",0,PUP,-,07h26m42.5277s,-33.2504692˚00'00",0,PUP,:,grey,1,0.5 
-,06h38m50.1399s,-43.1116486˚00'00",0,PUP,-,06h39m36.9263s,-33.1128159˚00'00",0,PUP,:,grey,1,0.5 
-,06h03m48.4265s,-43.0057793˚00'00",0,PUP,-,06h38m50.1399s,-43.1116486˚00'00",0,PUP,:,grey,1,0.5 
-,06h02m59.7365s,-50.7545471˚00'00",0,PUP,-,06h03m48.4265s,-43.0057793˚00'00",0,PUP,:,grey,1,0.5 
-,08h03m26.8074s,-51.1025848˚00'00",0,PUP,-,06h02m59.7365s,-50.7545471˚00'00",0,PUP,:,grey,1,0.5 
-,08h04m09.1869s,-43.3535042˚00'00",0,PUP,-,08h03m26.8074s,-51.1025848˚00'00",0,PUP,:,grey,1,0.5 
-,08h26m17.3551s,-43.4095192˚00'00",0,PUP,-,08h04m09.1869s,-43.3535042˚00'00",0,PUP,:,grey,1,0.5 
-,08h26m42.6717s,-37.1600380˚00'00",0,PUP,-,08h26m17.3551s,-43.4095192˚00'00",0,PUP,:,grey,1,0.5 
-,08h27m42.5027s,-17.4112568˚00'00",0,PUP,-,08h26m42.6717s,-37.1600380˚00'00",0,PUP,:,grey,1,0.5 
-,08h27m57.5471s,-11.4115648˚00'00",0,PUP,-,08h27m42.5027s,-17.4112568˚00'00",0,PUP,:,grey,1,0.5 
-,08h10m56.2029s,-11.3687992˚00'00",0,PUP,-,08h27m57.5471s,-11.4115648˚00'00",0,PUP,:,grey,1,0.5 
