Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,03h13m27.0455s,-67.0358200˚00'00",0,RET,-,03h15m09.8715s,-57.0377846˚00'00",0,RET,:,grey,1,0.5
-,04h35m10.5645s,-67.2479248˚00'00",0,RET,-,03h13m27.0455s,-67.0358200˚00'00",0,RET,:,grey,1,0.5 
-,04h37m05.8883s,-58.7506638˚00'00",0,RET,-,04h35m10.5645s,-67.2479248˚00'00",0,RET,:,grey,1,0.5 
-,04h22m13.1016s,-58.7088547˚00'00",0,RET,-,04h37m05.8883s,-58.7506638˚00'00",0,RET,:,grey,1,0.5 
-,04h22m36.1110s,-56.2093849˚00'00",0,RET,-,04h22m13.1016s,-58.7088547˚00'00",0,RET,:,grey,1,0.5 
-,04h02m46.3005s,-56.1555862˚00'00",0,RET,-,04h22m36.1110s,-56.2093849˚00'00",0,RET,:,grey,1,0.5 
-,04h03m11.4951s,-52.8228111˚00'00",0,RET,-,04h02m46.3005s,-56.1555862˚00'00",0,RET,:,grey,1,0.5 
-,03h53m16.5091s,-52.7968445˚00'00",0,RET,-,04h03m11.4951s,-52.8228111˚00'00",0,RET,:,grey,1,0.5 
-,03h33m27.6005s,-52.7470779˚00'00",0,RET,-,03h53m16.5091s,-52.7968445˚00'00",0,RET,:,grey,1,0.5 
-,03h32m56.8359s,-57.0797844˚00'00",0,RET,-,03h33m27.6005s,-52.7470779˚00'00",0,RET,:,grey,1,0.5 
-,03h15m09.8715s,-57.0377846˚00'00",0,RET,-,03h32m56.8359s,-57.0797844˚00'00",0,RET,:,grey,1,0.5 
