Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,18h57m29.6727s, 18.6647091˚00'00",0,SGE,-,19h05m30.1185s, 18.6882229˚00'00",0,SGE,:,grey,1,0.5
-,18h57m21.3919s, 21.2478352˚00'00",0,SGE,-,18h57m29.6727s, 18.6647091˚00'00",0,SGE,:,grey,1,0.5 
-,19h20m23.1147s, 21.3148155˚00'00",0,SGE,-,18h57m21.3919s, 21.2478352˚00'00",0,SGE,:,grey,1,0.5 
-,19h20m29.1091s, 19.3982983˚00'00",0,SGE,-,19h20m23.1147s, 21.3148155˚00'00",0,SGE,:,grey,1,0.5 
-,19h55m32.5653s, 19.4955387˚00'00",0,SGE,-,19h20m29.1091s, 19.3982983˚00'00",0,SGE,:,grey,1,0.5 
-,19h55m26.4612s, 21.5787334˚00'00",0,SGE,-,19h55m32.5653s, 19.4955387˚00'00",0,SGE,:,grey,1,0.5 
-,20h20m30.0981s, 21.6436558˚00'00",0,SGE,-,19h55m26.4612s, 21.5787334˚00'00",0,SGE,:,grey,1,0.5 
-,20h20m32.1717s, 20.8936996˚00'00",0,SGE,-,20h20m30.0981s, 21.6436558˚00'00",0,SGE,:,grey,1,0.5 
-,20h20m44.8677s, 16.1439629˚00'00",0,SGE,-,20h20m32.1717s, 20.8936996˚00'00",0,SGE,:,grey,1,0.5 
-,20h14m14.1594s, 16.1275158˚00'00",0,SGE,-,20h20m44.8677s, 16.1439629˚00'00",0,SGE,:,grey,1,0.5 
-,19h55m42.2400s, 16.0790844˚00'00",0,SGE,-,20h14m14.1594s, 16.1275158˚00'00",0,SGE,:,grey,1,0.5 
-,19h55m41.0797s, 16.4957294˚00'00",0,SGE,-,19h55m42.2400s, 16.0790844˚00'00",0,SGE,:,grey,1,0.5 
-,19h05m37.3146s, 16.3550682˚00'00",0,SGE,-,19h55m41.0797s, 16.4957294˚00'00",0,SGE,:,grey,1,0.5 
-,19h05m30.1185s, 18.6882229˚00'00",0,SGE,-,19h05m37.3146s, 16.3550682˚00'00",0,SGE,:,grey,1,0.5 
