Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,18h58m58.5729s,-11.8664360˚00'00",0,SGR,-,20h06m54.3287s,-11.6762342˚00'00",0,SGR,:,grey,1,0.5
-,18h59m10.4928s,-15.8328123˚00'00",0,SGR,-,18h58m58.5729s,-11.8664360˚00'00",0,SGR,:,grey,1,0.5 
-,18h22m11.8863s,-15.9435720˚00'00",0,SGR,-,18h59m10.4928s,-15.8328123˚00'00",0,SGR,:,grey,1,0.5 
-,17h43m12.0457s,-16.0618820˚00'00",0,SGR,-,18h22m11.8863s,-15.9435720˚00'00",0,SGR,:,grey,1,0.5 
-,17h44m00.4405s,-30.0606632˚00'00",0,SGR,-,17h43m12.0457s,-16.0618820˚00'00",0,SGR,:,grey,1,0.5 
-,17h58m00.6747s,-30.0182076˚00'00",0,SGR,-,17h44m00.4405s,-30.0606632˚00'00",0,SGR,:,grey,1,0.5 
-,17h58m30.1113s,-37.0174599˚00'00",0,SGR,-,17h58m00.6747s,-30.0182076˚00'00",0,SGR,:,grey,1,0.5 
-,19h18m23.1167s,-36.7785645˚00'00",0,SGR,-,17h58m30.1113s,-37.0174599˚00'00",0,SGR,:,grey,1,0.5 
-,19h19m04.7136s,-45.2775650˚00'00",0,SGR,-,19h18m23.1167s,-36.7785645˚00'00",0,SGR,:,grey,1,0.5 
-,20h28m40.6308s,-45.0900002˚00'00",0,SGR,-,19h19m04.7136s,-45.2775650˚00'00",0,SGR,:,grey,1,0.5 
-,20h27m35.5093s,-27.5913391˚00'00",0,SGR,-,20h28m40.6308s,-45.0900002˚00'00",0,SGR,:,grey,1,0.5 
-,20h07m39.8327s,-27.6419144˚00'00",0,SGR,-,20h27m35.5093s,-27.5913391˚00'00",0,SGR,:,grey,1,0.5 
-,20h06m54.3287s,-11.6762342˚00'00",0,SGR,-,20h07m39.8327s,-27.6419144˚00'00",0,SGR,:,grey,1,0.5 
