Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,16h01m44.9469s, -8.3523235˚00'00",0,SCO,-,16h02m17.2263s,-20.3516178˚00'00",0,SCO,:,grey,1,0.5
-,16h22m45.8889s, -8.2958899˚00'00",0,SCO,-,16h01m44.9469s, -8.3523235˚00'00",0,SCO,:,grey,1,0.5 
-,16h23m14.5633s,-18.5452347˚00'00",0,SCO,-,16h22m45.8889s, -8.2958899˚00'00",0,SCO,:,grey,1,0.5 
-,16h29m45.1752s,-18.5272255˚00'00",0,SCO,-,16h23m14.5633s,-18.5452347˚00'00",0,SCO,:,grey,1,0.5 
-,16h29m48.1621s,-19.5271549˚00'00",0,SCO,-,16h29m45.1752s,-18.5272255˚00'00",0,SCO,:,grey,1,0.5 
-,16h23m17.5161s,-19.5451660˚00'00",0,SCO,-,16h29m48.1621s,-19.5271549˚00'00",0,SCO,:,grey,1,0.5 
-,16h23m33.9471s,-24.8781185˚00'00",0,SCO,-,16h23m17.5161s,-19.5451660˚00'00",0,SCO,:,grey,1,0.5 
-,16h52m37.3609s,-24.7960968˚00'00",0,SCO,-,16h23m33.9471s,-24.8781185˚00'00",0,SCO,:,grey,1,0.5 
-,16h52m56.4837s,-30.2123089˚00'00",0,SCO,-,16h52m37.3609s,-24.7960968˚00'00",0,SCO,:,grey,1,0.5 
-,17h44m00.4405s,-30.0606632˚00'00",0,SCO,-,16h52m56.4837s,-30.2123089˚00'00",0,SCO,:,grey,1,0.5 
-,17h58m00.6747s,-30.0182076˚00'00",0,SCO,-,17h44m00.4405s,-30.0606632˚00'00",0,SCO,:,grey,1,0.5 
-,17h58m30.1113s,-37.0174599˚00'00",0,SCO,-,17h58m00.6747s,-30.0182076˚00'00",0,SCO,:,grey,1,0.5 
-,17h59m14.2281s,-45.5163460˚00'00",0,SCO,-,17h58m30.1113s,-37.0174599˚00'00",0,SCO,:,grey,1,0.5 
-,16h34m16.9497s,-45.7670517˚00'00",0,SCO,-,17h59m14.2281s,-45.5163460˚00'00",0,SCO,:,grey,1,0.5 
-,16h33m58.7466s,-42.2674789˚00'00",0,SCO,-,16h34m16.9497s,-45.7670517˚00'00",0,SCO,:,grey,1,0.5 
-,16h08m36.6735s,-42.3366776˚00'00",0,SCO,-,16h33m58.7466s,-42.2674789˚00'00",0,SCO,:,grey,1,0.5 
-,16h07m47.4477s,-29.8377628˚00'00",0,SCO,-,16h08m36.6735s,-42.3366776˚00'00",0,SCO,:,grey,1,0.5 
-,15h47m43.1952s,-29.8896160˚00'00",0,SCO,-,16h07m47.4477s,-29.8377628˚00'00",0,SCO,:,grey,1,0.5 
-,15h47m15.1353s,-20.3902016˚00'00",0,SCO,-,15h47m43.1952s,-29.8896160˚00'00",0,SCO,:,grey,1,0.5 
-,16h02m17.2263s,-20.3516178˚00'00",0,SCO,-,15h47m15.1353s,-20.3902016˚00'00",0,SCO,:,grey,1,0.5 
