Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,15h11m24.7229s, -0.4742887˚00'00",0,SER1,-,15h11m31.6683s, -3.7241600˚00'00",0,SER1,:,grey,1,0.5 
-,15h11m07.5567s,  7.5253930˚00'00",0,SER1,-,15h11m24.7229s, -0.4742887˚00'00",0,SER1,:,grey,1,0.5 
-,15h10m25.3179s, 25.5246105˚00'00",0,SER1,-,15h11m07.5567s,  7.5253930˚00'00",0,SER1,:,grey,1,0.5 
-,15h16m23.8839s, 25.5380573˚00'00",0,SER1,-,15h10m25.3179s, 25.5246105˚00'00",0,SER1,:,grey,1,0.5 
-,16h07m13.3763s, 25.6641407˚00'00",0,SER1,-,15h16m23.8839s, 25.5380573˚00'00",0,SER1,:,grey,1,0.5 
-,16h07m25.5781s, 21.6644115˚00'00",0,SER1,-,16h07m13.3763s, 25.6641407˚00'00",0,SER1,:,grey,1,0.5 
-,16h00m26.6418s, 21.6459675˚00'00",0,SER1,-,16h07m25.5781s, 21.6644115˚00'00",0,SER1,:,grey,1,0.5 
-,16h00m43.4577s, 15.6463346˚00'00",0,SER1,-,16h00m26.6418s, 21.6459675˚00'00",0,SER1,:,grey,1,0.5 
-,16h10m42.3912s, 15.6728001˚00'00",0,SER1,-,16h00m43.4577s, 15.6463346˚00'00",0,SER1,:,grey,1,0.5 
-,16h11m14.3203s,  3.6735139˚00'00",0,SER1,-,16h10m42.3912s, 15.6728001˚00'00",0,SER1,:,grey,1,0.5 
-,16h22m14.0628s,  3.7033811˚00'00",0,SER1,-,16h11m14.3203s,  3.6735139˚00'00",0,SER1,:,grey,1,0.5 
-,16h22m24.6306s, -0.2963768˚00'00",0,SER1,-,16h22m14.0628s,  3.7033811˚00'00",0,SER1,:,grey,1,0.5 
-,16h22m33.2133s, -3.5461800˚00'00",0,SER1,-,16h22m24.6306s, -0.2963768˚00'00",0,SER1,:,grey,1,0.5 
-,16h01m32.8689s, -3.6025870˚00'00",0,SER1,-,16h22m33.2133s, -3.5461800˚00'00",0,SER1,:,grey,1,0.5 
-,15h11m31.6683s, -3.7241600˚00'00",0,SER1,-,16h01m32.8689s, -3.6025870˚00'00",0,SER1,:,grey,1,0.5 
