Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,18h21m24.1437s,  0.0552235˚00'00",0,SER2,-,17h56m24.2491s, -0.0206471˚00'00",0,SER2,:,grey,1,0.5 
-,18h21m15.4167s,  3.0550034˚00'00",0,SER2,-,18h21m24.1437s,  0.0552235˚00'00",0,SER2,:,grey,1,0.5 
-,18h31m45.4137s,  3.0867271˚00'00",0,SER2,-,18h21m15.4167s,  3.0550034˚00'00",0,SER2,:,grey,1,0.5 
-,18h31m41.0535s,  4.5866175˚00'00",0,SER2,-,18h31m45.4137s,  3.0867271˚00'00",0,SER2,:,grey,1,0.5 
-,18h21m11.0427s,  4.5548930˚00'00",0,SER2,-,18h31m41.0535s,  4.5866175˚00'00",0,SER2,:,grey,1,0.5 
-,18h21m05.9065s,  6.3047633˚00'00",0,SER2,-,18h21m11.0427s,  4.5548930˚00'00",0,SER2,:,grey,1,0.5 
-,18h45m50.0565s,  6.3791943˚00'00",0,SER2,-,18h21m05.9065s,  6.3047633˚00'00",0,SER2,:,grey,1,0.5 
-,18h58m06.2364s,  6.4156075˚00'00",0,SER2,-,18h45m50.0565s,  6.3791943˚00'00",0,SER2,:,grey,1,0.5 
-,18h58m18.3421s,  2.1659052˚00'00",0,SER2,-,18h58m06.2364s,  6.4156075˚00'00",0,SER2,:,grey,1,0.5 
-,18h41m18.2958s,  2.1153460˚00'00",0,SER2,-,18h58m18.3421s,  2.1659052˚00'00",0,SER2,:,grey,1,0.5 
-,18h41m24.0501s,  0.1154895˚00'00",0,SER2,-,18h41m18.2958s,  2.1153460˚00'00",0,SER2,:,grey,1,0.5 
-,18h41m35.5650s, -3.8842230˚00'00",0,SER2,-,18h41m24.0501s,  0.1154895˚00'00",0,SER2,:,grey,1,0.5 
-,18h21m35.7894s, -3.9444826˚00'00",0,SER2,-,18h41m35.5650s, -3.8842230˚00'00",0,SER2,:,grey,1,0.5 
-,18h22m11.8863s,-15.9435720˚00'00",0,SER2,-,18h21m35.7894s, -3.9444826˚00'00",0,SER2,:,grey,1,0.5 
-,17h43m12.0457s,-16.0618820˚00'00",0,SER2,-,18h22m11.8863s,-15.9435720˚00'00",0,SER2,:,grey,1,0.5 
-,17h17m11.3827s,-16.1399899˚00'00",0,SER2,-,17h43m12.0457s,-16.0618820˚00'00",0,SER2,:,grey,1,0.5 
-,17h16m53.2967s,-10.1404381˚00'00",0,SER2,-,17h17m11.3827s,-16.1399899˚00'00",0,SER2,:,grey,1,0.5 
-,17h41m53.6377s,-10.0653696˚00'00",0,SER2,-,17h16m53.2967s,-10.1404381˚00'00",0,SER2,:,grey,1,0.5 
-,17h41m58.6569s,-11.7319136˚00'00",0,SER2,-,17h41m53.6377s,-10.0653696˚00'00",0,SER2,:,grey,1,0.5 
-,17h46m58.7280s,-11.7167768˚00'00",0,SER2,-,17h41m58.6569s,-11.7319136˚00'00",0,SER2,:,grey,1,0.5 
-,17h46m53.7017s,-10.0502338˚00'00",0,SER2,-,17h46m58.7280s,-11.7167768˚00'00",0,SER2,:,grey,1,0.5 
-,18h04m53.6919s, -9.9956055˚00'00",0,SER2,-,17h46m53.7017s,-10.0502338˚00'00",0,SER2,:,grey,1,0.5 
-,18h04m35.9217s, -3.9960551˚00'00",0,SER2,-,18h04m53.6919s, -9.9956055˚00'00",0,SER2,:,grey,1,0.5 
-,17h56m35.9289s, -4.0203514˚00'00",0,SER2,-,18h04m35.9217s, -3.9960551˚00'00",0,SER2,:,grey,1,0.5 
-,17h56m24.2491s, -0.0206471˚00'00",0,SER2,-,17h56m35.9289s, -4.0203514˚00'00",0,SER2,:,grey,1,0.5 
