Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,03h23m20.8039s, -1.3029516˚00'00",0,TAU,-,03h41m20.5397s, -1.3461887˚00'00",0,TAU,:,grey,1,0.5 
-,03h23m24.7161s,  0.4469725˚00'00",0,TAU,-,03h23m20.8039s, -1.3029516˚00'00",0,TAU ,:,grey,1,0.5 
-,03h23m47.1387s, 10.3632069˚00'00",0,TAU,-,03h23m24.7161s,  0.4469725˚00'00",0,TAU ,:,grey,1,0.5 
-,03h24m08.9363s, 19.4461136˚00'00",0,TAU,-,03h23m47.1387s, 10.3632069˚00'00",0,TAU ,:,grey,1,0.5 
-,03h29m09.7494s, 19.4343338˚00'00",0,TAU,-,03h24m08.9363s, 19.4461136˚00'00",0,TAU ,:,grey,1,0.5 
-,03h29m42.4003s, 31.1003609˚00'00",0,TAU,-,03h29m09.7494s, 19.4343338˚00'00",0,TAU ,:,grey,1,0.5 
-,04h37m56.8650s, 30.9218750˚00'00",0,TAU,-,03h29m42.4003s, 31.1003609˚00'00",0,TAU ,:,grey,1,0.5 
-,04h37m54.4293s, 30.2552605˚00'00",0,TAU,-,04h37m56.8650s, 30.9218750˚00'00",0,TAU ,:,grey,1,0.5 
-,04h52m56.4823s, 30.2123089˚00'00",0,TAU,-,04h37m54.4293s, 30.2552605˚00'00",0,TAU ,:,grey,1,0.5 
-,04h52m50.9941s, 28.7124405˚00'00",0,TAU,-,04h52m56.4823s, 30.2123089˚00'00",0,TAU ,:,grey,1,0.5 
-,06h00m54.9367s, 28.5092430˚00'00",0,TAU,-,04h52m50.9941s, 28.7124405˚00'00",0,TAU ,:,grey,1,0.5 
-,06h00m53.0571s, 28.0092907˚00'00",0,TAU,-,06h00m54.9367s, 28.5092430˚00'00",0,TAU ,:,grey,1,0.5 
-,06h00m34.5690s, 22.8430862˚00'00",0,TAU,-,06h00m53.0571s, 28.0092907˚00'00",0,TAU ,:,grey,1,0.5 
-,05h49m34.5105s, 22.8764725˚00'00",0,TAU,-,06h00m34.5690s, 22.8430862˚00'00",0,TAU ,:,grey,1,0.5 
-,05h49m18.4757s, 18.0435486˚00'00",0,TAU,-,05h49m34.5105s, 22.8764725˚00'00",0,TAU ,:,grey,1,0.5 
-,05h53m18.5201s, 18.0314159˚00'00",0,TAU,-,05h49m18.4757s, 18.0435486˚00'00",0,TAU ,:,grey,1,0.5 
-,05h53m01.2887s, 12.5318508˚00'00",0,TAU,-,05h53m18.5201s, 18.0314159˚00'00",0,TAU ,:,grey,1,0.5 
-,05h43m01.2137s, 12.5621548˚00'00",0,TAU,-,05h53m01.2887s, 12.5318508˚00'00",0,TAU ,:,grey,1,0.5 
-,05h43m10.4751s, 15.5619202˚00'00",0,TAU,-,05h43m01.2137s, 12.5621548˚00'00",0,TAU ,:,grey,1,0.5 
-,05h27m10.1358s, 15.6101446˚00'00",0,TAU,-,05h43m10.4751s, 15.5619202˚00'00",0,TAU ,:,grey,1,0.5 
-,05h27m11.6910s, 16.1101055˚00'00",0,TAU,-,05h27m10.1358s, 15.6101446˚00'00",0,TAU ,:,grey,1,0.5 
-,05h05m10.8669s, 16.1754990˚00'00",0,TAU,-,05h27m11.6910s, 16.1101055˚00'00",0,TAU ,:,grey,1,0.5 
-,05h05m09.3423s, 15.6755352˚00'00",0,TAU,-,05h05m10.8669s, 16.1754990˚00'00",0,TAU ,:,grey,1,0.5 
-,04h44m08.1669s, 15.7364635˚00'00",0,TAU,-,05h05m09.3423s, 15.6755352˚00'00",0,TAU ,:,grey,1,0.5 
-,04h43m24.5665s,  0.2375014˚00'00",0,TAU,-,04h44m08.1669s, 15.7364635˚00'00",0,TAU ,:,grey,1,0.5 
-,03h41m24.6973s,  0.4037257˚00'00",0,TAU,-,04h43m24.5665s,  0.2375014˚00'00",0,TAU ,:,grey,1,0.5 
-,03h41m20.5397s, -1.3461887˚00'00",0,TAU,-,03h41m24.6973s,  0.4037257˚00'00",0,TAU ,:,grey,1,0.5 
