Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,4h56m39.9459s,-70.5115433˚00'00",0,TRA ,-,17h13m52.9629s,-70.1597443˚00'00",0,TRA,:,grey,1,0.5 
-,14h56m00.8721s,-68.0122070˚00'00",0,TRA ,-,h4h56m39.9459s,-70.5115433˚00'00",0,TRA,:,grey,1,0.5 
-,15h06m13.7103s,-67.9909286˚00'00",0,TRA ,-,14h56m00.8721s,-68.0122070˚00'00",0,TRA,:,grey,1,0.5 
-,15h05m24.8485s,-64.0751266˚00'00",0,TRA ,-,15h06m13.7103s,-67.9909286˚00'00",0,TRA,:,grey,1,0.5 
-,15h20m39.9789s,-64.0415649˚00'00",0,TRA ,-,15h05m24.8485s,-64.0751266˚00'00",0,TRA,:,grey,1,0.5 
-,15h20m13.0967s,-61.4587479˚00'00",0,TRA ,-,15h20m39.9789s,-64.0415649˚00'00",0,TRA,:,grey,1,0.5 
-,15h30m21.5435s,-61.4353065˚00'00",0,TRA ,-,15h20m13.0967s,-61.4587479˚00'00",0,TRA,:,grey,1,0.5 
-,15h30m11.9682s,-60.4354935˚00'00",0,TRA ,-,15h30m21.5435s,-61.4353065˚00'00",0,TRA,:,grey,1,0.5 
-,16h36m08.3235s,-60.2644577˚00'00",0,TRA ,-,15h30m11.9682s,-60.4354935˚00'00",0,TRA,:,grey,1,0.5 
-,16h36m19.5912s,-61.2641945˚00'00",0,TRA ,-,16h36m08.3235s,-60.2644577˚00'00",0,TRA,:,grey,1,0.5 
-,16h46m09.0833s,-61.2364578˚00'00",0,TRA ,-,16h36m19.5912s,-61.2641945˚00'00",0,TRA,:,grey,1,0.5 
-,16h46m42.3171s,-63.8189964˚00'00",0,TRA ,-,16h46m09.0833s,-61.2364578˚00'00",0,TRA,:,grey,1,0.5 
-,16h56m46.8330s,-63.7900925˚00'00",0,TRA ,-,16h46m42.3171s,-63.8189964˚00'00",0,TRA,:,grey,1,0.5 
-,16h57m08.0435s,-65.2062531˚00'00",0,TRA ,-,16h56m46.8330s,-63.7900925˚00'00",0,TRA,:,grey,1,0.5 
-,17h02m10.1742s,-65.1916428˚00'00",0,TRA ,-,16h57m08.0435s,-65.2062531˚00'00",0,TRA,:,grey,1,0.5 
-,17h02m53.9959s,-67.6905823˚00'00",0,TRA ,-,17h02m10.1742s,-65.1916428˚00'00",0,TRA,:,grey,1,0.5 
-,17h12m58.1958s,-67.6610870˚00'00",0,TRA ,-,17h02m53.9959s,-67.6905823˚00'00",0,TRA,:,grey,1,0.5 
-,17h13m52.9629s,-70.1597443˚00'00",0,TRA ,-,17h12m58.1958s,-67.6610870˚00'00",0,TRA,:,grey,1,0.5 
