Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,01h46m58.7219s, 25.6263351˚00'00",0,TRI ,-,02h02m03.2907s, 25.6050701˚00'00",0,TRI,:,grey,1,0.5 
-,01h47m03.5304s, 28.6262817˚00'00",0,TRI ,-,01h46m58.7219s, 25.6263351˚00'00",0,TRI,:,grey,1,0.5 
-,01h31m27.9408s, 28.6454391˚00'00",0,TRI ,-,01h47m03.5304s, 28.6262817˚00'00",0,TRI,:,grey,1,0.5 
-,01h31m35.3823s, 33.6453705˚00'00",0,TRI ,-,01h31m27.9408s, 28.6454391˚00'00",0,TRI,:,grey,1,0.5 
-,01h31m38.6004s, 35.6453362˚00'00",0,TRI ,-,01h31m35.3823s, 33.6453705˚00'00",0,TRI,:,grey,1,0.5 
-,02h07m25.0201s, 35.5971375˚00'00",0,TRI ,-,01h31m38.6004s, 35.6453362˚00'00",0,TRI,:,grey,1,0.5 
-,02h07m29.0619s, 37.3470840˚00'00",0,TRI ,-,02h07m25.0201s, 35.5971375˚00'00",0,TRI,:,grey,1,0.5 
-,02h38m43.0419s, 37.2931557˚00'00",0,TRI ,-,02h07m29.0619s, 37.3470840˚00'00",0,TRI,:,grey,1,0.5 
-,02h41m44.3181s, 37.2873878˚00'00",0,TRI ,-,02h38m43.0419s, 37.2931557˚00'00",0,TRI,:,grey,1,0.5 
-,02h41m36.5719s, 34.5375137˚00'00",0,TRI ,-,02h41m44.3181s, 37.2873878˚00'00",0,TRI,:,grey,1,0.5 
-,02h50m39.9523s, 34.5196762˚00'00",0,TRI ,-,02h41m36.5719s, 34.5375137˚00'00",0,TRI,:,grey,1,0.5 
-,02h50m30.8112s, 31.1865025˚00'00",0,TRI ,-,02h50m39.9523s, 34.5196762˚00'00",0,TRI,:,grey,1,0.5 
-,02h32m24.7665s, 31.2213154˚00'00",0,TRI ,-,02h50m30.8112s, 31.1865025˚00'00",0,TRI,:,grey,1,0.5 
-,02h32m16.8357s, 27.8047638˚00'00",0,TRI ,-,02h32m24.7665s, 31.2213154˚00'00",0,TRI,:,grey,1,0.5 
-,02h02m07.3479s, 27.8550186˚00'00",0,TRI ,-,02h32m16.8357s, 27.8047638˚00'00",0,TRI,:,grey,1,0.5 
-,02h02m03.2907s, 25.6050701˚00'00",0,TRI ,-,02h02m07.3479s, 27.8550186˚00'00",0,TRI,:,grey,1,0.5 
