Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,3h27m59.4799s,-74.3124619˚00'00",0,TUC ,-,23h27m26.7339s,-66.8125992˚00'00",0,TUC,:,grey,1,0.5 
-,00h06m15.9113s,-74.3039627˚00'00",0,TUC ,-,h3h27m59.4799s,-74.3124619˚00'00",0,TUC,:,grey,1,0.5 
-,00h49m19.7850s,-74.3185730˚00'00",0,TUC ,-,00h06m15.9113s,-74.3039627˚00'00",0,TUC,:,grey,1,0.5 
-,00h49m10.8995s,-75.3185272˚00'00",0,TUC ,-,00h49m19.7850s,-74.3185730˚00'00",0,TUC,:,grey,1,0.5 
-,01h22m36.9721s,-75.3472214˚00'00",0,TUC ,-,00h49m10.8995s,-75.3185272˚00'00",0,TUC,:,grey,1,0.5 
-,01h24m49.4949s,-57.8484154˚00'00",0,TUC ,-,01h22m36.9721s,-75.3472214˚00'00",0,TUC,:,grey,1,0.5 
-,23h27m06.8145s,-57.8126793˚00'00",0,TUC ,-,01h24m49.4949s,-57.8484154˚00'00",0,TUC,:,grey,1,0.5 
-,23h27m04.4453s,-56.3126869˚00'00",0,TUC ,-,23h27m06.8145s,-57.8126793˚00'00",0,TUC,:,grey,1,0.5 
-,22h08m27.2868s,-56.3908348˚00'00",0,TUC ,-,23h27m04.4453s,-56.3126869˚00'00",0,TUC,:,grey,1,0.5 
-,22h09m35.6562s,-66.8899918˚00'00",0,TUC ,-,22h08m27.2868s,-56.3908348˚00'00",0,TUC,:,grey,1,0.5 
-,23h27m26.7339s,-66.8125992˚00'00",0,TUC ,-,22h09m35.6562s,-66.8899918˚00'00",0,TUC,:,grey,1,0.5 
