Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,9h42m50.2171s, 41.4316750˚00'00",0,UMA ,-,10h17m30.7737s, 41.3773613˚00'00",0,UMA,:,grey,1,0.5 
-,09h18m02.9977s, 41.4785957˚00'00",0,UMA ,-,h9h42m50.2171s, 41.4316750˚00'00",0,UMA,:,grey,1,0.5 
-,09h18m21.7707s, 46.4782791˚00'00",0,UMA ,-,09h18m02.9977s, 41.4785957˚00'00",0,UMA,:,grey,1,0.5 
-,08h33m45.6249s, 46.5777283˚00'00",0,UMA ,-,09h18m21.7707s, 46.4782791˚00'00",0,UMA,:,grey,1,0.5 
-,08h35m11.7921s, 59.5759888˚00'00",0,UMA ,-,08h33m45.6249s, 46.5777283˚00'00",0,UMA,:,grey,1,0.5 
-,08h08m30.9843s, 59.6433983˚00'00",0,UMA ,-,08h35m11.7921s, 59.5759888˚00'00",0,UMA,:,grey,1,0.5 
-,08h12m20.6949s, 73.1383743˚00'00",0,UMA ,-,08h08m30.9843s, 59.6433983˚00'00",0,UMA,:,grey,1,0.5 
-,09h22m27.7137s, 72.9741364˚00'00",0,UMA ,-,08h12m20.6949s, 73.1383743˚00'00",0,UMA,:,grey,1,0.5 
-,11h27m50.7287s, 72.8125000˚00'00",0,UMA ,-,09h22m27.7137s, 72.9741364˚00'00",0,UMA,:,grey,1,0.5 
-,11h27m23.8431s, 65.8126068˚00'00",0,UMA ,-,11h27m50.7287s, 72.8125000˚00'00",0,UMA,:,grey,1,0.5 
-,12h06m19.0213s, 65.8039627˚00'00",0,UMA ,-,11h27m23.8431s, 65.8126068˚00'00",0,UMA,:,grey,1,0.5 
-,12h06m19.5743s, 63.3039627˚00'00",0,UMA ,-,12h06m19.0213s, 65.8039627˚00'00",0,UMA,:,grey,1,0.5 
-,13h34m12.1293s, 63.3593445˚00'00",0,UMA ,-,12h06m19.5743s, 63.3039627˚00'00",0,UMA,:,grey,1,0.5 
-,13h34m17.6739s, 62.3593979˚00'00",0,UMA ,-,13h34m12.1293s, 63.3593445˚00'00",0,UMA,:,grey,1,0.5 
-,14h28m10.8609s, 62.4414825˚00'00",0,UMA ,-,13h34m17.6739s, 62.3593979˚00'00",0,UMA,:,grey,1,0.5 
-,14h29m00.2997s, 54.9422379˚00'00",0,UMA ,-,14h28m10.8609s, 62.4414825˚00'00",0,UMA,:,grey,1,0.5 
-,14h06m20.2539s, 54.9035759˚00'00",0,UMA ,-,14h29m00.2997s, 54.9422379˚00'00",0,UMA,:,grey,1,0.5 
-,14h06m47.6957s, 47.9039383˚00'00",0,UMA ,-,14h06m20.2539s, 54.9035759˚00'00",0,UMA,:,grey,1,0.5 
-,13h35m10.8273s, 47.8599281˚00'00",0,UMA ,-,14h06m47.6957s, 47.9039383˚00'00",0,UMA,:,grey,1,0.5 
-,13h34m58.1757s, 52.3598061˚00'00",0,UMA ,-,13h35m10.8273s, 47.8599281˚00'00",0,UMA,:,grey,1,0.5 
-,12h11m16.4454s, 52.3043365˚00'00",0,UMA ,-,13h34m58.1757s, 52.3598061˚00'00",0,UMA,:,grey,1,0.5 
-,12h11m18.3441s, 44.3043365˚00'00",0,UMA ,-,12h11m16.4454s, 52.3043365˚00'00",0,UMA,:,grey,1,0.5 
-,12h06m21.9399s, 44.3039627˚00'00",0,UMA ,-,12h11m18.3441s, 44.3043365˚00'00",0,UMA,:,grey,1,0.5 
-,12h06m22.6815s, 33.3039627˚00'00",0,UMA ,-,12h06m21.9399s, 44.3039627˚00'00",0,UMA,:,grey,1,0.5 
-,12h06m22.9593s, 28.3039627˚00'00",0,UMA ,-,12h06m22.6815s, 33.3039627˚00'00",0,UMA,:,grey,1,0.5 
-,11h58m26.1459s, 28.3040466˚00'00",0,UMA ,-,12h06m22.9593s, 28.3039627˚00'00",0,UMA,:,grey,1,0.5 
-,11h06m46.5595s, 28.3250256˚00'00",0,UMA ,-,11h58m26.1459s, 28.3040466˚00'00",0,UMA,:,grey,1,0.5 
-,11h06m51.4141s, 33.3249931˚00'00",0,UMA ,-,11h06m46.5595s, 28.3250256˚00'00",0,UMA,:,grey,1,0.5 
-,10h53m57.4581s, 33.3356781˚00'00",0,UMA ,-,11h06m51.4141s, 33.3249931˚00'00",0,UMA,:,grey,1,0.5 
-,10h54m05.5605s, 39.3356133˚00'00",0,UMA ,-,10h53m57.4581s, 33.3356781˚00'00",0,UMA,:,grey,1,0.5 
-,10h17m26.2590s, 39.3774109˚00'00",0,UMA ,-,10h54m05.5605s, 39.3356133˚00'00",0,UMA,:,grey,1,0.5 
-,10h17m30.7737s, 41.3773613˚00'00",0,UMA ,-,10h17m26.2590s, 39.3774109˚00'00",0,UMA,:,grey,1,0.5 
