Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,13h03m16.9470s, 76.3289108˚00'00",0,UMI ,-,13h36m37.6845s, 76.3638153˚00'00",0,UMI,:,grey,1,0.5 
-,13h04m23.3937s, 69.3293610˚00'00",0,UMI ,-,13h03m16.9470s, 76.3289108˚00'00",0,UMI,:,grey,1,0.5 
-,14h02m36.1947s, 69.3991165˚00'00",0,UMI ,-,13h04m23.3937s, 69.3293610˚00'00",0,UMI,:,grey,1,0.5 
-,14h03m16.9333s, 65.3996506˚00'00",0,UMI ,-,14h02m36.1947s, 69.3991165˚00'00",0,UMI,:,grey,1,0.5 
-,15h41m19.0957s, 65.6023483˚00'00",0,UMI ,-,14h03m16.9333s, 65.3996506˚00'00",0,UMI,:,grey,1,0.5 
-,15h40m12.1512s, 69.6009445˚00'00",0,UMI ,-,15h41m19.0957s, 65.6023483˚00'00",0,UMI,:,grey,1,0.5 
-,16h31m21.8550s, 69.7383041˚00'00",0,UMI ,-,15h40m12.1512s, 69.6009445˚00'00",0,UMI,:,grey,1,0.5 
-,16h28m52.9698s, 74.7347870˚00'00",0,UMI ,-,16h31m21.8550s, 69.7383041˚00'00",0,UMI,:,grey,1,0.5 
-,17h26m08.7929s, 74.9033127˚00'00",0,UMI ,-,16h28m52.9698s, 74.7347870˚00'00",0,UMI,:,grey,1,0.5 
-,17h20m52.2971s, 79.8953476˚00'00",0,UMI ,-,17h26m08.7929s, 74.9033127˚00'00",0,UMI,:,grey,1,0.5 
-,17h50m37.4449s, 79.9857483˚00'00",0,UMI ,-,17h20m52.2971s, 79.8953476˚00'00",0,UMI,:,grey,1,0.5 
-,17h26m53.3353s, 85.9495697˚00'00",0,UMI ,-,17h50m37.4449s, 79.9857483˚00'00",0,UMI,:,grey,1,0.5 
-,20h34m53.0328s, 86.4656219˚00'00",0,UMI ,-,17h26m53.3353s, 85.9495697˚00'00",0,UMI,:,grey,1,0.5 
-,20h33m19.5253s, 86.6306305˚00'00",0,UMI ,-,20h34m53.0328s, 86.4656219˚00'00",0,UMI,:,grey,1,0.5 
-,22h54m02.5599s, 86.8368912˚00'00",0,UMI ,-,20h33m19.5253s, 86.6306305˚00'00",0,UMI,:,grey,1,0.5 
-,22h37m02.6371s, 88.6638870˚00'00",0,UMI ,-,22h54m02.5599s, 86.8368912˚00'00",0,UMI,:,grey,1,0.5 
-,09h03m19.7931s, 87.5689163˚00'00",0,UMI ,-,22h37m02.6371s, 88.6638870˚00'00",0,UMI,:,grey,1,0.5 
-,08h41m36.6601s, 86.0975418˚00'00",0,UMI ,-,09h03m19.7931s, 87.5689163˚00'00",0,UMI,:,grey,1,0.5 
-,14h12m05.5098s, 85.9308090˚00'00",0,UMI ,-,08h41m36.6601s, 86.0975418˚00'00",0,UMI,:,grey,1,0.5 
-,14h27m07.8855s, 79.4449844˚00'00",0,UMI ,-,14h12m05.5098s, 85.9308090˚00'00",0,UMI,:,grey,1,0.5 
-,13h35m14.2055s, 79.3629303˚00'00",0,UMI ,-,14h27m07.8855s, 79.4449844˚00'00",0,UMI,:,grey,1,0.5 
-,13h36m37.6845s, 76.3638153˚00'00",0,UMI ,-,13h35m14.2055s, 79.3629303˚00'00",0,UMI,:,grey,1,0.5 
