Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,1h05m20.9415s,-57.1744423˚00'00",0,VEL ,-,08h53m17.6773s,-56.9739723˚00'00",0,VEL,:,grey,1,0.5 
-,11h05m49.5611s,-40.4246216˚00'00",0,VEL ,-,h1h05m20.9415s,-57.1744423˚00'00",0,VEL,:,grey,1,0.5 
-,09h26m56.1747s,-40.2918739˚00'00",0,VEL ,-,11h05m49.5611s,-40.4246216˚00'00",0,VEL,:,grey,1,0.5 
-,09h27m05.1837s,-37.2920151˚00'00",0,VEL ,-,09h26m56.1747s,-40.2918739˚00'00",0,VEL,:,grey,1,0.5 
-,08h26m42.6717s,-37.1600380˚00'00",0,VEL ,-,09h27m05.1837s,-37.2920151˚00'00",0,VEL,:,grey,1,0.5 
-,08h26m17.3551s,-43.4095192˚00'00",0,VEL ,-,08h26m42.6717s,-37.1600380˚00'00",0,VEL,:,grey,1,0.5 
-,08h04m09.1869s,-43.3535042˚00'00",0,VEL ,-,08h26m17.3551s,-43.4095192˚00'00",0,VEL,:,grey,1,0.5 
-,08h03m26.8074s,-51.1025848˚00'00",0,VEL ,-,08h04m09.1869s,-43.3535042˚00'00",0,VEL,:,grey,1,0.5 
-,08h13m31.4709s,-51.1285286˚00'00",0,VEL ,-,08h03m26.8074s,-51.1025848˚00'00",0,VEL,:,grey,1,0.5 
-,08h13m16.8279s,-53.3782196˚00'00",0,VEL ,-,08h13m31.4709s,-51.1285286˚00'00",0,VEL,:,grey,1,0.5 
-,08h30m26.2299s,-53.4206772˚00'00",0,VEL ,-,08h13m16.8279s,-53.3782196˚00'00",0,VEL,:,grey,1,0.5 
-,08h30m16.1085s,-54.9204712˚00'00",0,VEL ,-,08h30m26.2299s,-53.4206772˚00'00",0,VEL,:,grey,1,0.5 
-,08h53m31.2417s,-54.9742203˚00'00",0,VEL ,-,08h30m16.1085s,-54.9204712˚00'00",0,VEL,:,grey,1,0.5 
-,08h53m17.6773s,-56.9739723˚00'00",0,VEL ,-,08h53m31.2417s,-54.9742203˚00'00",0,VEL,:,grey,1,0.5 
