Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,11h37m24.1259s, -0.6916979˚00'00",0,VIR ,-,11h37m22.1517s, -6.6916924˚00'00",0,VIR,:,grey,1,0.5 
-,11h37m27.7651s, 10.3082914˚00'00",0,VIR ,-,11h37m24.1259s, -0.6916979˚00'00",0,VIR,:,grey,1,0.5 
-,11h58m24.8963s, 10.3040485˚00'00",0,VIR ,-,11h37m27.7651s, 10.3082914˚00'00",0,VIR,:,grey,1,0.5 
-,11h58m25.0885s, 13.3040485˚00'00",0,VIR ,-,11h58m24.8963s, 10.3040485˚00'00",0,VIR,:,grey,1,0.5 
-,12h56m14.8866s, 13.3225126˚00'00",0,VIR ,-,11h58m25.0885s, 13.3040485˚00'00",0,VIR,:,grey,1,0.5 
-,12h56m14.1759s, 14.3225088˚00'00",0,VIR ,-,12h56m14.8866s, 13.3225126˚00'00",0,VIR,:,grey,1,0.5 
-,13h36m06.9433s, 14.3604937˚00'00",0,VIR ,-,12h56m14.1759s, 14.3225088˚00'00",0,VIR,:,grey,1,0.5 
-,13h36m15.3237s,  7.3605771˚00'00",0,VIR ,-,13h36m06.9433s, 14.3604937˚00'00",0,VIR,:,grey,1,0.5 
-,15h11m07.5567s,  7.5253930˚00'00",0,VIR ,-,13h36m15.3237s,  7.3605771˚00'00",0,VIR,:,grey,1,0.5 
-,15h11m24.7229s, -0.4742887˚00'00",0,VIR ,-,15h11m07.5567s,  7.5253930˚00'00",0,VIR,:,grey,1,0.5 
-,14h46m24.7422s, -0.5269387˚00'00",0,VIR ,-,15h11m24.7229s, -0.4742887˚00'00",0,VIR,:,grey,1,0.5 
-,14h46m40.1059s, -8.5266848˚00'00",0,VIR ,-,14h46m24.7422s, -0.5269387˚00'00",0,VIR,:,grey,1,0.5 
-,14h21m38.0415s, -8.5731344˚00'00",0,VIR ,-,14h46m40.1059s, -8.5266848˚00'00",0,VIR,:,grey,1,0.5 
-,14h22m03.1419s,-22.5727749˚00'00",0,VIR ,-,14h21m38.0415s, -8.5731344˚00'00",0,VIR,:,grey,1,0.5 
-,12h56m40.0488s,-22.6773415˚00'00",0,VIR ,-,14h22m03.1419s,-22.5727749˚00'00",0,VIR,:,grey,1,0.5 
-,12h56m31.9326s,-11.6773882˚00'00",0,VIR ,-,12h56m40.0488s,-22.6773415˚00'00",0,VIR,:,grey,1,0.5 
-,11h56m23.2224s,-11.6957970˚00'00",0,VIR ,-,12h56m31.9326s,-11.6773882˚00'00",0,VIR,:,grey,1,0.5 
-,11h56m23.6655s, -6.6957974˚00'00",0,VIR ,-,11h56m23.2224s,-11.6957970˚00'00",0,VIR,:,grey,1,0.5 
-,11h37m22.1517s, -6.6916924˚00'00",0,VIR ,-,11h56m23.6655s, -6.6957974˚00'00",0,VIR,:,grey,1,0.5 
