Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,18h57m21.3919s, 21.2478352˚00'00",0,VUL ,-,19h20m23.1147s, 21.3148155˚00'00",0,VUL,:,grey,1,0.5 
-,18h57m06.5189s, 25.6641407˚00'00",0,VUL ,-,18h57m21.3919s, 21.2478352˚00'00",0,VUL,:,grey,1,0.5 
-,19h20m38.7153s, 25.7325745˚00'00",0,VUL ,-,18h57m06.5189s, 25.6641407˚00'00",0,VUL,:,grey,1,0.5 
-,19h20m31.8351s, 27.7324085˚00'00",0,VUL ,-,19h20m38.7153s, 25.7325745˚00'00",0,VUL,:,grey,1,0.5 
-,19h45m05.3283s, 27.8011742˚00'00",0,VUL ,-,19h20m31.8351s, 27.7324085˚00'00",0,VUL,:,grey,1,0.5 
-,19h45m00.2265s, 29.3010578˚00'00",0,VUL ,-,19h45m05.3283s, 27.8011742˚00'00",0,VUL,:,grey,1,0.5 
-,21h00m17.4201s, 29.4871387˚00'00",0,VUL ,-,19h45m00.2265s, 29.3010578˚00'00",0,VUL,:,grey,1,0.5 
-,21h00m20.1395s, 28.4871883˚00'00",0,VUL ,-,21h00m17.4201s, 29.4871387˚00'00",0,VUL,:,grey,1,0.5 
-,21h30m28.8393s, 28.5480537˚00'00",0,VUL ,-,21h00m20.1395s, 28.4871883˚00'00",0,VUL,:,grey,1,0.5 
-,21h30m38.8847s, 24.0482101˚00'00",0,VUL ,-,21h30m28.8393s, 28.5480537˚00'00",0,VUL,:,grey,1,0.5 
-,21h20m36.4081s, 24.0289364˚00'00",0,VUL ,-,21h30m38.8847s, 24.0482101˚00'00",0,VUL,:,grey,1,0.5 
-,21h20m45.2181s, 20.0290813˚00'00",0,VUL ,-,21h20m36.4081s, 24.0289364˚00'00",0,VUL,:,grey,1,0.5 
-,21h08m42.9079s, 20.0046406˚00'00",0,VUL ,-,21h20m45.2181s, 20.0290813˚00'00",0,VUL,:,grey,1,0.5 
-,20h39m37.8396s, 19.9399967˚00'00",0,VUL ,-,21h08m42.9079s, 20.0046406˚00'00",0,VUL,:,grey,1,0.5 
-,20h39m35.2649s, 20.9399471˚00'00",0,VUL ,-,20h39m37.8396s, 19.9399967˚00'00",0,VUL,:,grey,1,0.5 
-,20h20m32.1717s, 20.8936996˚00'00",0,VUL ,-,20h39m35.2649s, 20.9399471˚00'00",0,VUL,:,grey,1,0.5 
-,20h20m30.0981s, 21.6436558˚00'00",0,VUL ,-,20h20m32.1717s, 20.8936996˚00'00",0,VUL,:,grey,1,0.5 
-,19h55m26.4612s, 21.5787334˚00'00",0,VUL ,-,20h20m30.0981s, 21.6436558˚00'00",0,VUL,:,grey,1,0.5 
-,19h55m32.5653s, 19.4955387˚00'00",0,VUL ,-,19h55m26.4612s, 21.5787334˚00'00",0,VUL,:,grey,1,0.5 
-,19h20m29.1091s, 19.3982983˚00'00",0,VUL ,-,19h55m32.5653s, 19.4955387˚00'00",0,VUL,:,grey,1,0.5 
-,19h20m23.1147s, 21.3148155˚00'00",0,VUL ,-,19h20m29.1091s, 19.3982983˚00'00",0,VUL,:,grey,1,0.5 
