Name,Right Ascension,Declination,Apparent Magnitude,Constellation
109 Virginis,14h 46m 14.99s,+01° 53′ 34.6″,3.73,Virgo
Tau Virginis,14h 01m 38.78s,+01° 32′ 40.5″,4.23,Virgo
Zeta Virginis,13h 34m 41.75s,-00° 35′ 45.4″,3.38,Virgo
Delta Virginis,12h 55m 36.48s,+03° 23′ 51.4″,3.39,Virgo
Epsilon Virginis,13h 02m 10.76s,+10° 57′ 32.8″,2.85,Virgo
Mu Virginis,14h 43m 03.56s,-05° 39′ 26.7″,3.87,Virgo
Iota Virginis,14h 16m 00.88s,-05° 59′ 58.3″,4.07,Virgo
Kappa Virginis,14h 12m 53.74s,-10° 16′ 26.6″,4.18,Virgo
Spica,13h 25m 11.60s,-11° 09′ 40.5″,0.98,Virgo
Gamma Virginis,12h 41m 40.00s,-01° 26′ 58.3″,2.74,Virgo
Eta Virginis,12h 19m 54.39s,-00° 40′ 00.3″,3.89,Virgo
Nu Virginis,11h 45m 51.57s,+06° 31′ 47.3″,4.04,Virgo
